dates|result
04.11.2021 - 12:42:31|95,972
04.11.2021 - 08:40:18|65,872
04.11.2021 - 08:39:01|72,129
04.11.2021 - 07:28:28|88,467
04.11.2021 - 07:26:58|120,288
03.11.2021 - 16:09:51|89,592
03.11.2021 - 07:04:14|122,916
03.11.2021 - 07:02:09|92,366
02.11.2021 - 13:33:25|89,946
02.11.2021 - 13:31:54|107,360
02.11.2021 - 07:30:27|127,266
02.11.2021 - 07:28:18|106,767
02.11.2021 - 07:26:18|82,388
01.11.2021 - 08:22:07|115,317
01.11.2021 - 08:20:08|85,880
01.11.2021 - 08:18:41|124,015
01.11.2021 - 08:16:36|124,276
01.11.2021 - 08:14:31|98,573
31.10.2021 - 23:01:09|83,660
31.10.2021 - 22:59:43|96,852
31.10.2021 - 17:56:20|121,886
30.10.2021 - 18:53:26|105,610
30.10.2021 - 18:51:39|108,487
29.10.2021 - 13:26:01|106,196
29.10.2021 - 13:24:14|100,289
29.10.2021 - 07:29:36|124,439
29.10.2021 - 07:27:30|113,365
27.10.2021 - 07:27:28|78,880
27.10.2021 - 05:41:14|104,386
22.10.2021 - 08:50:55|76,943
22.10.2021 - 08:21:34|94,718
22.10.2021 - 07:38:42|86,775
21.10.2021 - 20:09:34|91,970
21.10.2021 - 08:50:27|88,116
21.10.2021 - 08:48:56|90,998
20.10.2021 - 08:45:20|92,565
20.10.2021 - 08:43:47|112,272
18.10.2021 - 09:19:00|98,984
18.10.2021 - 09:01:52|102,463
18.10.2021 - 08:51:21|89,250
18.10.2021 - 08:04:04|100,218
18.10.2021 - 08:02:15|72,061
17.10.2021 - 21:26:44|88,842
17.10.2021 - 21:25:14|74,863
16.10.2021 - 13:36:13|86,747
16.10.2021 - 13:34:45|92,220
15.10.2021 - 13:24:02|89,886
15.10.2021 - 13:22:30|74,768
15.10.2021 - 07:36:07|103,098
15.10.2021 - 07:25:36|104,765
15.10.2021 - 07:23:48|94,715
15.10.2021 - 07:22:12|74,029
14.10.2021 - 09:02:58|92,483
14.10.2021 - 07:20:07|77,068
13.10.2021 - 22:10:56|91,631
